#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
297_RNODE_13_length_755597_235,314271.RB2654_01210,0.0,963.0,"COG4799@1|root,COG4799@2|Bacteria,1MVAX@1224|Proteobacteria,2TRA0@28211|Alphaproteobacteria",28211|Alphaproteobacteria,I,"acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)",mccB,-,6.4.1.4,ko:K01969,"ko00280,ko01100,map00280,map01100",M00036,R04138,"RC00367,RC00942","ko00000,ko00001,ko00002,ko01000",-,-,-,Carboxyl_trans
297_RNODE_13_length_755597_236,314271.RB2654_01225,0.0,974.0,"COG4770@1|root,COG4770@2|Bacteria,1P6RE@1224|Proteobacteria,2TRC2@28211|Alphaproteobacteria",28211|Alphaproteobacteria,I,Acetyl propionyl-CoA carboxylase alpha subunit,mccA,-,6.4.1.4,ko:K01968,"ko00280,ko01100,map00280,map01100",M00036,R04138,"RC00367,RC00942","ko00000,ko00001,ko00002,ko01000",-,-,-,"Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2"
297_RNODE_13_length_755597_237,314271.RB2654_01230,6.9E-131,374.0,"COG0625@1|root,COG0625@2|Bacteria,1MXHH@1224|Proteobacteria,2TVGY@28211|Alphaproteobacteria",28211|Alphaproteobacteria,O,Glutathione S-transferase,-,-,2.5.1.18,ko:K00799,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",-,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","ko00000,ko00001,ko01000,ko02000","1.A.12.2.2,1.A.12.3.2",-,-,"GST_C,GST_N,GST_N_3"
297_RNODE_13_length_755597_238,314271.RB2654_01235,2.59E-162,459.0,"COG0119@1|root,COG0119@2|Bacteria,1MUMX@1224|Proteobacteria,2TT1R@28211|Alphaproteobacteria",28211|Alphaproteobacteria,E,hydroxy-methylglutaryl-CoA lyase,mvaB,-,4.1.3.4,ko:K01640,"ko00072,ko00280,ko00281,ko00650,ko01100,ko04146,map00072,map00280,map00281,map00650,map01100,map04146","M00036,M00088","R01360,R08090","RC00502,RC00503,RC01118,RC01946","ko00000,ko00001,ko00002,ko01000",-,-,-,HMGL-like
297_RNODE_13_length_755597_239,314271.RB2654_01240,3.72E-142,406.0,"COG1024@1|root,COG1024@2|Bacteria,1MVEC@1224|Proteobacteria,2TRPS@28211|Alphaproteobacteria",28211|Alphaproteobacteria,I,Enoyl-CoA hydratase,-,-,4.2.1.18,ko:K13766,"ko00280,ko01100,map00280,map01100",M00036,R02085,RC02416,"ko00000,ko00001,ko00002,ko01000",-,-,-,ECH_1
297_RNODE_13_length_755597_240,314271.RB2654_01250,2.27E-68,208.0,"COG0838@1|root,COG0838@2|Bacteria,1RGUT@1224|Proteobacteria,2U72Q@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoA,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",1.6.5.3,ko:K00330,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Oxidored_q4
297_RNODE_13_length_755597_241,314271.RB2654_01255,3.37E-123,351.0,"COG0377@1|root,COG0377@2|Bacteria,1MUI2@1224|Proteobacteria,2TQK3@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoB,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114",1.6.5.3,ko:K00331,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Oxidored_q6
297_RNODE_13_length_755597_242,314271.RB2654_01260,8.92E-123,352.0,"COG0852@1|root,COG0852@2|Bacteria,1MX4B@1224|Proteobacteria,2TSMT@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoC,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114",1.6.5.3,ko:K00332,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Complex1_30kDa
297_RNODE_13_length_755597_243,314271.RB2654_01265,9.57E-106,316.0,"2B5JQ@1|root,31YEN@2|Bacteria,1RCTT@1224|Proteobacteria,2U6E2@28211|Alphaproteobacteria",28211|Alphaproteobacteria,S,Sulfotransferase family,-,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
297_RNODE_13_length_755597_244,314271.RB2654_01270,2.08E-299,816.0,"COG0649@1|root,COG0649@2|Bacteria,1MVIN@1224|Proteobacteria,2TQZ0@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoD,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114",1.6.5.3,ko:K00333,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Complex1_49kDa
297_RNODE_13_length_755597_245,314271.RB2654_01280,1.08E-213,601.0,"COG1905@1|root,COG3743@1|root,COG1905@2|Bacteria,COG3743@2|Bacteria,1MWS2@1224|Proteobacteria,2TSEJ@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,COG1905 NADH ubiquinone oxidoreductase 24 kD subunit,nuoE,-,"1.6.5.3,1.6.99.3","ko:K00334,ko:K03943","ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016","M00143,M00144",R11945,RC00061,"ko00000,ko00001,ko00002,ko01000","3.D.1,3.D.1.6",-,-,2Fe-2S_thioredx
297_RNODE_13_length_755597_246,1402135.SUH3_03070,7.03E-26,112.0,"COG3743@1|root,COG3743@2|Bacteria,1N76A@1224|Proteobacteria,2U93Q@28211|Alphaproteobacteria,3ZXNW@60136|Sulfitobacter",28211|Alphaproteobacteria,S,NADH ubiquinone oxidoreductase 41 kD complex I subunit,nuoE_2,-,-,-,-,-,-,-,-,-,-,-,-
297_RNODE_13_length_755597_248,314271.RB2654_01295,2.3E-314,856.0,"COG1894@1|root,COG1894@2|Bacteria,1MV8F@1224|Proteobacteria,2TRAH@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain",nuoF,-,1.6.5.3,ko:K00335,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"Complex1_51K,NADH_4Fe-4S,SLBB"
297_RNODE_13_length_755597_250,252305.OB2597_00300,0.0,1114.0,"COG1034@1|root,COG1034@2|Bacteria,1P8MN@1224|Proteobacteria,2TS97@28211|Alphaproteobacteria,2PCBA@252301|Oceanicola",28211|Alphaproteobacteria,C,COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G),nuoG,-,1.6.5.3,ko:K00336,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"Fer2_4,Molybdopterin,NADH-G_4Fe-4S_3,NADH_dhqG_C"
297_RNODE_13_length_755597_251,314271.RB2654_01320,3.46E-72,219.0,"2ANT7@1|root,31DTG@2|Bacteria,1RHPB@1224|Proteobacteria,2U9BN@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
297_RNODE_13_length_755597_252,314271.RB2654_01325,4.45E-231,638.0,"COG1005@1|root,COG1005@2|Bacteria,1MU2R@1224|Proteobacteria,2TS09@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",nuoH,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114",1.6.5.3,ko:K00337,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,NADHdh
297_RNODE_13_length_755597_253,314271.RB2654_01330,2.12E-89,265.0,"COG1143@1|root,COG1143@2|Bacteria,1MV90@1224|Proteobacteria,2TRFE@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoI,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114","1.6.5.3,1.6.99.3","ko:K00338,ko:K03941","ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016","M00143,M00144",R11945,RC00061,"ko00000,ko00001,ko00002,ko01000","3.D.1,3.D.1.6",-,-,Fer4
297_RNODE_13_length_755597_254,314271.RB2654_01335,2.18E-54,174.0,"2AMIX@1|root,31CEN@2|Bacteria,1Q8IZ@1224|Proteobacteria,2UWHG@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,Domain of unknown function (DUF4259),-,-,-,-,-,-,-,-,-,-,-,-,DUF4259
297_RNODE_13_length_755597_255,314271.RB2654_01340,2.26E-69,212.0,"COG0599@1|root,COG0599@2|Bacteria,1RD2R@1224|Proteobacteria,2U76K@28211|Alphaproteobacteria",28211|Alphaproteobacteria,S,homolog of gamma-carboxymuconolactone decarboxylase subunit,-,-,4.1.1.44,ko:K01607,"ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220",-,R03470,RC00938,"ko00000,ko00001,ko01000",-,-,-,CMD
297_RNODE_13_length_755597_256,314271.RB2654_01345,1.05E-113,329.0,"COG0839@1|root,COG0839@2|Bacteria,1MWJV@1224|Proteobacteria,2TRB2@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,Belongs to the complex I subunit 6 family,nuoJ,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",1.6.5.3,ko:K00339,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Oxidored_q3
297_RNODE_13_length_755597_259,314271.RB2654_01360,1.11E-56,177.0,"COG0713@1|root,COG0713@2|Bacteria,1RH0S@1224|Proteobacteria,2U93P@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoK,"GO:0003674,GO:0003824,GO:0003954,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0016655,GO:0050136,GO:0055114",1.6.5.3,ko:K00340,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Oxidored_q2
297_RNODE_13_length_755597_260,314271.RB2654_01365,0.0,1193.0,"COG1009@1|root,COG1009@2|Bacteria,1MW2M@1224|Proteobacteria,2TQSS@28211|Alphaproteobacteria",28211|Alphaproteobacteria,CP,"NADH ubiquinone oxidoreductase subunit 5 (chain L) multisubunit Na H antiporter, MnhA subunit",nuoL,-,1.6.5.3,ko:K00341,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"NADH5_C,Proton_antipo_M,Proton_antipo_N"
297_RNODE_13_length_755597_261,314271.RB2654_01370,0.0,890.0,"COG1008@1|root,COG1008@2|Bacteria,1MV7V@1224|Proteobacteria,2TSNK@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,NADH ubiquinone oxidoreductase subunit 4 (chain M),nuoM,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",1.6.5.3,ko:K00342,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"Oxidored_q5_N,Proton_antipo_M"
297_RNODE_13_length_755597_262,314271.RB2654_01375,5.86E-271,750.0,"COG1007@1|root,COG1007@2|Bacteria,1MV56@1224|Proteobacteria,2TQMX@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",nuoN,-,1.6.5.3,ko:K00343,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,Proton_antipo_M
297_RNODE_13_length_755597_263,314271.RB2654_01380,5.99E-127,367.0,"COG0340@1|root,COG0340@2|Bacteria,1MWCC@1224|Proteobacteria,2TS82@28211|Alphaproteobacteria",28211|Alphaproteobacteria,H,biotin lipoate A B protein ligase,birA,-,6.3.4.15,ko:K03524,"ko00780,ko01100,map00780,map01100",-,"R01074,R05145","RC00043,RC00070,RC00096,RC02896","ko00000,ko00001,ko01000,ko03000",-,-,-,"BPL_C,BPL_LplA_LipB,BPL_LplA_LipB_2"
297_RNODE_13_length_755597_264,314271.RB2654_01385,3.61E-171,479.0,"COG1521@1|root,COG1521@2|Bacteria,1MUYA@1224|Proteobacteria,2TS5A@28211|Alphaproteobacteria",28211|Alphaproteobacteria,F,"Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis",coaX,-,2.7.1.33,ko:K03525,"ko00770,ko01100,map00770,map01100",M00120,"R02971,R03018,R04391","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Pan_kinase
297_RNODE_13_length_755597_265,314271.RB2654_01390,0.0,949.0,"COG0595@1|root,COG0595@2|Bacteria,1MUGV@1224|Proteobacteria,2TQTR@28211|Alphaproteobacteria",28211|Alphaproteobacteria,H,hydrolase of the metallo-beta-lactamase superfamily,rnjA,-,-,ko:K12574,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"Lactamase_B,Lactamase_B_2,RMMBL"
297_RNODE_13_length_755597_266,314271.RB2654_01410,9.34E-83,247.0,"COG1764@1|root,COG1764@2|Bacteria,1RH9U@1224|Proteobacteria,2U768@28211|Alphaproteobacteria",28211|Alphaproteobacteria,O,redox protein regulator of disulfide bond formation,osmC,"GO:0003674,GO:0003824,GO:0004601,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006970,GO:0006972,GO:0006979,GO:0008150,GO:0008152,GO:0009628,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0033194,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0051920,GO:0055114,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1990748",-,ko:K04063,-,-,-,-,ko00000,-,-,-,OsmC
297_RNODE_13_length_755597_267,766499.C357_03223,4.03E-34,119.0,"2DNW5@1|root,32ZGI@2|Bacteria,1MZA8@1224|Proteobacteria,2UD5I@28211|Alphaproteobacteria",28211|Alphaproteobacteria,S,COG3668 Plasmid stabilization system protein,-,-,-,-,-,-,-,-,-,-,-,-,Rho_N
297_RNODE_13_length_755597_269,314271.RB2654_01460,9.08E-151,429.0,"COG1028@1|root,COG1028@2|Bacteria,1MWJI@1224|Proteobacteria,2TRNJ@28211|Alphaproteobacteria",28211|Alphaproteobacteria,IQ,COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),MA20_19195,-,1.1.1.100,ko:K00059,"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212","M00083,M00572","R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671","RC00029,RC00117","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,adh_short_C2
297_RNODE_13_length_755597_270,314271.RB2654_01465,8.57E-215,599.0,"COG3842@1|root,COG3842@2|Bacteria,1MU3I@1224|Proteobacteria,2TQMJ@28211|Alphaproteobacteria",28211|Alphaproteobacteria,P,Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system,fbpC,-,3.6.3.30,ko:K02010,"ko02010,map02010",M00190,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.10,-,-,"ABC_tran,TOBE_2"
297_RNODE_13_length_755597_271,314271.RB2654_01470,3.11E-34,118.0,"COG1826@1|root,COG1826@2|Bacteria,1NGDP@1224|Proteobacteria",1224|Proteobacteria,U,Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system,tatA,"GO:0003674,GO:0005215",-,ko:K03116,"ko03060,ko03070,map03060,map03070",M00336,-,-,"ko00000,ko00001,ko00002,ko02044",2.A.64,-,-,MttA_Hcf106
297_RNODE_13_length_755597_272,314271.RB2654_01475,4.52E-55,185.0,"COG1826@1|root,COG1826@2|Bacteria,1N73F@1224|Proteobacteria,2UF4Z@28211|Alphaproteobacteria",28211|Alphaproteobacteria,U,"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation",tatB,"GO:0003674,GO:0005215",-,ko:K03117,"ko03060,ko03070,map03060,map03070",M00336,-,-,"ko00000,ko00001,ko00002,ko02044",2.A.64,-,-,MttA_Hcf106
297_RNODE_13_length_755597_273,1469613.JT55_12425,7.52E-150,431.0,"COG0805@1|root,COG0805@2|Bacteria,1MVAY@1224|Proteobacteria,2TTIX@28211|Alphaproteobacteria,3FD6K@34008|Rhodovulum",28211|Alphaproteobacteria,U,"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides",tatC,-,-,ko:K03118,"ko03060,ko03070,map03060,map03070",M00336,-,-,"ko00000,ko00001,ko00002,ko02044",2.A.64,-,-,TatC
297_RNODE_13_length_755597_274,314271.RB2654_01485,1.78E-181,507.0,"COG2607@1|root,COG2607@2|Bacteria,1MVMX@1224|Proteobacteria,2TTFE@28211|Alphaproteobacteria",28211|Alphaproteobacteria,P,ATPase (AAA),MA20_41470,-,-,ko:K06923,-,-,-,-,ko00000,-,-,-,DUF815
297_RNODE_13_length_755597_275,314271.RB2654_01515,3.15E-57,179.0,"COG1862@1|root,COG1862@2|Bacteria,1MZT2@1224|Proteobacteria,2UBZ6@28211|Alphaproteobacteria",28211|Alphaproteobacteria,U,Preprotein translocase subunit (YajC),yajC,-,-,ko:K03210,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,YajC
297_RNODE_13_length_755597_276,314271.RB2654_01520,0.0,892.0,"COG0342@1|root,COG0342@2|Bacteria,1MV5U@1224|Proteobacteria,2TQYG@28211|Alphaproteobacteria",28211|Alphaproteobacteria,U,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,secD,-,-,"ko:K03072,ko:K12257","ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","2.A.6.4,3.A.5.2,3.A.5.7",-,-,"SecD_SecF,Sec_GG"
297_RNODE_13_length_755597_277,314271.RB2654_01525,3.59E-163,464.0,"COG0341@1|root,COG0341@2|Bacteria,1MU74@1224|Proteobacteria,2TSFW@28211|Alphaproteobacteria",28211|Alphaproteobacteria,U,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,secF,-,-,ko:K03074,"ko03060,ko03070,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","2.A.6.4,3.A.5.2,3.A.5.7",-,-,"SecD_SecF,Sec_GG"
297_RNODE_13_length_755597_278,314271.RB2654_03119,7.15E-128,374.0,"COG0697@1|root,COG0697@2|Bacteria,1R6KH@1224|Proteobacteria,2TTBR@28211|Alphaproteobacteria",28211|Alphaproteobacteria,EG,COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,MA20_23245,-,-,-,-,-,-,-,-,-,-,-,EamA
297_RNODE_13_length_755597_279,314271.RB2654_03129,8.98E-113,331.0,"COG2865@1|root,COG2865@2|Bacteria,1RDDZ@1224|Proteobacteria,2U7CD@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
297_RNODE_13_length_755597_280,314271.RB2654_03159,7.04E-182,516.0,"COG2377@1|root,COG2377@2|Bacteria,1MV4E@1224|Proteobacteria,2TS4G@28211|Alphaproteobacteria",28211|Alphaproteobacteria,O,"Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling",anmK,-,2.7.1.170,ko:K09001,-,-,-,-,"ko00000,ko01000",-,-,-,AnmK
297_RNODE_13_length_755597_281,314271.RB2654_03179,6.09E-275,761.0,"COG0260@1|root,COG0260@2|Bacteria,1MUF9@1224|Proteobacteria,2TQU9@28211|Alphaproteobacteria",28211|Alphaproteobacteria,E,Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides,pepA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",3.4.11.1,ko:K01255,"ko00480,ko01100,map00480,map01100",-,"R00899,R04951","RC00096,RC00141","ko00000,ko00001,ko01000,ko01002",-,-,-,"Peptidase_M17,Peptidase_M17_N"
297_RNODE_13_length_755597_282,314271.RB2654_03184,2.21E-68,210.0,"COG2927@1|root,COG2927@2|Bacteria,1RGVC@1224|Proteobacteria,2U94V@28211|Alphaproteobacteria",28211|Alphaproteobacteria,L,"DNA polymerase III, chi subunit",holC,-,2.7.7.7,ko:K02339,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,DNA_pol3_chi
297_RNODE_13_length_755597_283,1461694.ATO9_22280,5.73E-129,372.0,"COG0695@1|root,COG0695@2|Bacteria,1MXQW@1224|Proteobacteria,2TT7R@28211|Alphaproteobacteria,2PDI5@252301|Oceanicola",28211|Alphaproteobacteria,O,Glutaredoxin,-,-,-,-,-,-,-,-,-,-,-,-,"Glutaredoxin,MauE"
297_RNODE_13_length_755597_284,1366046.HIMB11_03095,6.05E-53,176.0,"COG2358@1|root,COG2358@2|Bacteria,1Q6GH@1224|Proteobacteria,2U1DH@28211|Alphaproteobacteria",28211|Alphaproteobacteria,K,"transport system, periplasmic component",-,-,-,-,-,-,-,-,-,-,-,-,NMT1_3
297_RNODE_13_length_755597_285,1366046.HIMB11_03095,9.08E-94,283.0,"COG2358@1|root,COG2358@2|Bacteria,1Q6GH@1224|Proteobacteria,2U1DH@28211|Alphaproteobacteria",28211|Alphaproteobacteria,K,"transport system, periplasmic component",-,-,-,-,-,-,-,-,-,-,-,-,NMT1_3
297_RNODE_13_length_755597_286,1366046.HIMB11_03093,2.04E-265,739.0,"COG3119@1|root,COG3119@2|Bacteria,1MV0B@1224|Proteobacteria,2TRI6@28211|Alphaproteobacteria",28211|Alphaproteobacteria,P,COG3119 Arylsulfatase A and related enzymes,-,-,-,-,-,-,-,-,-,-,-,-,"DUF4976,Sulfatase"
297_RNODE_13_length_755597_287,1123501.KB902297_gene3624,1.19E-197,565.0,"COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,2TRI3@28211|Alphaproteobacteria",28211|Alphaproteobacteria,C,Belongs to the aldehyde dehydrogenase family,-,-,"1.2.1.28,1.2.1.67","ko:K00141,ko:K21802","ko00622,ko00623,ko00627,ko01100,ko01120,ko01220,map00622,map00623,map00627,map01100,map01120,map01220","M00537,M00538","R01293,R01419,R05289,R05663,R05664,R05699,R07667",RC00075,"ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
